ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-1.149546429514884949e-01,-7.171390056610107422e-01,2.563733756542205811e-01,2.246203869581222534e-01,3.409834206104278564e-01,-7.201325297355651855e-01,5.609679818153381348e-01,8.273754119873046875e-01,-1.989630341529846191e+00,-1.335002779960632324e+00,-1.159412145614624023e+00,1.403248310089111328e+00,7.401568889617919922e-01,2.395688772201538086e+00
3.029431104660034180e-01,3.863359391689300537e-01,8.615356087684631348e-01,2.522995769977569580e-01,3.477507084608078003e-02,-3.981207311153411865e-01,8.812692165374755859e-01,-2.451154232025146484e+00,-3.270530700683593750e-01,-2.790239334106445312e+00,-1.178566455841064453e+00,3.177905082702636719e-02,-1.983241558074951172e+00,-1.839696168899536133e+00
-3.953291475772857666e-02,1.421337723731994629e-01,1.120714664459228516e+00,3.621938526630401611e-01,6.803672313690185547e-01,-6.316070556640625000e-01,8.359801024198532104e-02,8.894321918487548828e-01,1.882505416870117188e-01,-1.658938646316528320e+00,3.739154338836669922e-01,1.836197376251220703e+00,-2.067173242568969727e+00,1.868143796920776367e+00
-2.529861330986022949e-01,1.262789070606231689e-01,6.887100934982299805e-01,-4.472227096557617188e-01,5.551401376724243164e-01,-1.497955918312072754e-01,6.851077675819396973e-01,1.175782680511474609e+00,-6.691570281982421875e-01,-2.044425725936889648e+00,1.915169715881347656e+00,-9.696674346923828125e-01,-1.705902338027954102e+00,-2.463519573211669922e+00
6.753284484148025513e-02,4.162792861461639404e-01,9.647764563560485840e-01,-3.646941781044006348e-01,-2.310689687728881836e-01,8.957120776176452637e-01,-1.063256785273551941e-01,2.062072753906250000e+00,4.344866275787353516e-01,1.822535514831542969e+00,9.622983932495117188e-01,2.149820327758789062e-01,1.981782436370849609e+00,-7.419912815093994141e-01
4.845780432224273682e-01,-1.286916136741638184e-01,8.085794448852539062e-01,-2.425116002559661865e-01,1.911344230175018311e-01,-7.085485458374023438e-01,6.345193386077880859e-01,3.088152408599853516e-01,1.379806995391845703e+00,7.033102512359619141e-01,1.515114307403564453e+00,4.590170383453369141e-01,8.569085597991943359e-01,-2.774401187896728516e+00
-2.635861635208129883e-01,6.525813937187194824e-01,4.849531054496765137e-01,7.889558076858520508e-01,2.656731605529785156e-01,-5.194840431213378906e-01,-1.926209181547164917e-01,-1.614684104919433594e+00,-8.822096586227416992e-01,-2.493564605712890625e+00,-1.119282960891723633e+00,-2.367705106735229492e+00,-9.300221204757690430e-01,8.288490772247314453e-01
-5.362902283668518066e-01,3.242424875497817993e-02,9.551696181297302246e-01,-6.262829899787902832e-02,-2.517437338829040527e-01,4.686067402362823486e-01,8.444586992263793945e-01,-8.021018505096435547e-01,-5.437847375869750977e-01,-1.723819851875305176e+00,-9.760810136795043945e-01,2.591160297393798828e+00,6.200892925262451172e-01,6.666431427001953125e-01
-4.071450233459472656e-01,-5.449604988098144531e-01,9.036548733711242676e-01,5.249947309494018555e-01,-2.245531231164932251e-02,-2.747995555400848389e-01,8.052089214324951172e-01,-1.951502442359924316e+00,9.597642421722412109e-01,-1.997409701347351074e+00,-5.049358606338500977e-01,2.904890060424804688e+00,5.864295959472656250e-01,3.478860855102539062e-01
-1.335522979497909546e-01,6.914346218109130859e-01,4.849097430706024170e-01,-1.178362667560577393e-01,-5.929788947105407715e-01,5.462646484375000000e-02,7.946739196777343750e-01,1.095522880554199219e+00,1.436134815216064453e+00,1.637816429138183594e+00,-1.134960889816284180e+00,-2.776572942733764648e+00,-7.730284929275512695e-01,-1.418790340423583984e+00
1.503126025199890137e-01,-8.200356960296630859e-01,3.096921741962432861e-01,2.028721272945404053e-01,7.542099952697753906e-01,-4.631955921649932861e-01,4.188795089721679688e-01,-1.715062260627746582e+00,1.855255842208862305e+00,2.233410358428955078e+00,-7.762753963470458984e-01,9.223916530609130859e-01,-4.371759891510009766e-01,2.532326936721801758e+00
-7.040433883666992188e-01,2.933857142925262451e-01,8.178575634956359863e-01,-1.231105159968137741e-02,-6.265428662300109863e-01,-2.960767447948455811e-01,7.208544015884399414e-01,-2.441780567169189453e-01,-9.848675727844238281e-01,-1.503542542457580566e+00,2.570581436157226562e-01,-1.407919645309448242e+00,3.543128967285156250e-01,2.430161714553833008e+00
-6.473047733306884766e-01,3.900806903839111328e-01,6.186788678169250488e-01,8.141244053840637207e-01,-5.264670848846435547e-01,-3.184887021780014038e-02,2.429392486810684204e-01,-5.969693660736083984e-01,-1.175706505775451660e+00,2.952447414398193359e+00,3.990364074707031250e-02,-2.427592277526855469e+00,-1.897034525871276855e+00,-2.384517908096313477e+00
3.884605765342712402e-01,1.049316525459289551e-01,1.911060810089111328e-01,7.659367471933364868e-02,-4.419310092926025391e-01,6.792082190513610840e-01,5.809531807899475098e-01,7.562801837921142578e-01,1.223459243774414062e+00,-4.619119167327880859e-01,-1.828290939331054688e+00,-7.024853229522705078e-01,2.078148365020751953e+00,1.778495311737060547e-01
-7.183697223663330078e-01,1.734767556190490723e-01,3.195188194513320923e-02,6.254368275403976440e-02,9.240310192108154297e-01,7.905443012714385986e-02,-3.687891662120819092e-01,2.795435428619384766e+00,1.511230468750000000e+00,-2.898929834365844727e+00,9.245574474334716797e-01,1.078290939331054688e+00,1.548609733581542969e-01,-1.424383878707885742e+00
-5.761231780052185059e-01,-5.926960110664367676e-01,3.316929340362548828e-01,3.731625378131866455e-01,8.323746323585510254e-01,5.480941012501716614e-02,-4.060765206813812256e-01,8.364841938018798828e-01,-1.627126455307006836e+00,-3.871107101440429688e-01,-1.938416957855224609e-01,2.692997932434082031e+00,1.574369192123413086e+00,-1.445374131202697754e+00
-3.469412922859191895e-01,-2.678507566452026367e-01,8.354381918907165527e-01,2.333177439868450165e-02,-6.492530554533004761e-02,9.492416381835937500e-01,3.068887591361999512e-01,3.478050231933593750e-03,-1.346059799194335938e+00,2.448582649230957031e+00,1.552024602890014648e+00,-1.196052670478820801e+00,5.820302963256835938e-01,6.656613349914550781e-01
-2.187350988388061523e-01,-2.084046602249145508e-01,8.935824036598205566e-01,2.625797092914581299e-01,8.501551151275634766e-01,4.560557007789611816e-01,1.736338995397090912e-02,-2.060093164443969727e+00,1.099602699279785156e+00,2.336797714233398438e-01,1.167108058929443359e+00,1.801223754882812500e-01,-2.091999530792236328e+00,-1.074169635772705078e+00
-4.839419126510620117e-01,2.086969017982482910e-01,8.112841844558715820e-02,1.627719402313232422e-01,1.748431622982025146e-01,8.656043410301208496e-01,-4.400730729103088379e-01,-2.851482391357421875e+00,1.797404050827026367e+00,2.247380733489990234e+00,1.389277219772338867e+00,-1.142234086990356445e+00,-1.851758837699890137e+00,2.309129476547241211e+00
3.208192884922027588e-01,-2.130393087863922119e-01,7.302064895629882812e-01,2.016595378518104553e-02,-4.940674304962158203e-01,7.285107970237731934e-01,4.740914702415466309e-01,2.652251243591308594e+00,-1.735610842704772949e+00,-8.313417434692382812e-02,-1.804478406906127930e+00,1.546444416046142578e+00,1.113524675369262695e+00,-2.270027399063110352e+00
