ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-1.149547547101974487e-01,-7.171390056610107422e-01,2.563733458518981934e-01,2.246204465627670288e-01,3.409833610057830811e-01,-7.201325893402099609e-01,5.609679818153381348e-01,8.273752331733703613e-01,-1.989630341529846191e+00,-1.335002899169921875e+00,-1.159412145614624023e+00,1.403248429298400879e+00,7.401571273803710938e-01,2.395688772201538086e+00
3.029431402683258057e-01,3.863359689712524414e-01,8.615355491638183594e-01,2.522994875907897949e-01,3.477502986788749695e-02,-3.981207311153411865e-01,8.812692761421203613e-01,-2.451154232025146484e+00,-3.270531296730041504e-01,-2.790239334106445312e+00,-1.178566575050354004e+00,3.177891671657562256e-02,-1.983241558074951172e+00,-1.839696168899536133e+00
-3.953291475772857666e-02,1.421336531639099121e-01,1.120714664459228516e+00,3.621937930583953857e-01,6.803674101829528809e-01,-6.316068172454833984e-01,8.359781652688980103e-02,8.894321322441101074e-01,1.882504373788833618e-01,-1.658938646316528320e+00,3.739152252674102783e-01,1.836197257041931152e+00,-2.067173242568969727e+00,1.868143558502197266e+00
-2.529861629009246826e-01,1.262788623571395874e-01,6.887100934982299805e-01,-4.472227096557617188e-01,5.551400184631347656e-01,-1.497954577207565308e-01,6.851078271865844727e-01,1.175782799720764160e+00,-6.691570878028869629e-01,-2.044425725936889648e+00,1.915169715881347656e+00,-9.696674346923828125e-01,-1.705902218818664551e+00,-2.463519573211669922e+00
6.753267347812652588e-02,4.162792861461639404e-01,9.647764563560485840e-01,-3.646942377090454102e-01,-2.310690879821777344e-01,8.957120776176452637e-01,-1.063258945941925049e-01,2.062072992324829102e+00,4.344865977764129639e-01,1.822535753250122070e+00,9.622982740402221680e-01,2.149818092584609985e-01,1.981782674789428711e+00,-7.419912815093994141e-01
4.845781326293945312e-01,-1.286916285753250122e-01,8.085793852806091309e-01,-2.425116002559661865e-01,1.911345422267913818e-01,-7.085484266281127930e-01,6.345193982124328613e-01,3.088153004646301270e-01,1.379807114601135254e+00,7.033103704452514648e-01,1.515114307403564453e+00,4.590168595314025879e-01,8.569085001945495605e-01,-2.774400949478149414e+00
-2.635861635208129883e-01,6.525813937187194824e-01,4.849531054496765137e-01,7.889558076858520508e-01,2.656731009483337402e-01,-5.194840431213378906e-01,-1.926209330558776855e-01,-1.614684104919433594e+00,-8.822096586227416992e-01,-2.493564605712890625e+00,-1.119282960891723633e+00,-2.367705106735229492e+00,-9.300220012664794922e-01,8.288491368293762207e-01
-5.362902879714965820e-01,3.242431953549385071e-02,9.551695585250854492e-01,-6.262836605310440063e-02,-2.517437934875488281e-01,4.686067104339599609e-01,8.444586992263793945e-01,-8.021019697189331055e-01,-5.437847375869750977e-01,-1.723819971084594727e+00,-9.760810732841491699e-01,2.591160297393798828e+00,6.200891733169555664e-01,6.666433811187744141e-01
-4.071449935436248779e-01,-5.449604988098144531e-01,9.036549329757690430e-01,5.249947309494018555e-01,-2.245531231164932251e-02,-2.747996151447296143e-01,8.052089214324951172e-01,-1.951502442359924316e+00,9.597641229629516602e-01,-1.997409701347351074e+00,-5.049358606338500977e-01,2.904889822006225586e+00,5.864296555519104004e-01,3.478862047195434570e-01
-1.335523426532745361e-01,6.914346814155578613e-01,4.849097430706024170e-01,-1.178362667560577393e-01,-5.929788947105407715e-01,5.462646484375000000e-02,7.946739196777343750e-01,1.095522999763488770e+00,1.436134815216064453e+00,1.637816429138183594e+00,-1.134960770606994629e+00,-2.776572942733764648e+00,-7.730284929275512695e-01,-1.418790340423583984e+00
1.503126472234725952e-01,-8.200356960296630859e-01,3.096921145915985107e-01,2.028722167015075684e-01,7.542100548744201660e-01,-4.631954729557037354e-01,4.188795983791351318e-01,-1.715062260627746582e+00,1.855255961418151855e+00,2.233410358428955078e+00,-7.762755155563354492e-01,9.223915934562683105e-01,-4.371760785579681396e-01,2.532327175140380859e+00
-7.040433883666992188e-01,2.933857142925262451e-01,8.178574442863464355e-01,-1.231109350919723511e-02,-6.265429258346557617e-01,-2.960766255855560303e-01,7.208544015884399414e-01,-2.441780120134353638e-01,-9.848676919937133789e-01,-1.503542542457580566e+00,2.570582330226898193e-01,-1.407919526100158691e+00,3.543129861354827881e-01,2.430161714553833008e+00
-6.473047733306884766e-01,3.900807201862335205e-01,6.186788678169250488e-01,8.141244053840637207e-01,-5.264670848846435547e-01,-3.184888884425163269e-02,2.429392486810684204e-01,-5.969694256782531738e-01,-1.175706505775451660e+00,2.952447414398193359e+00,3.990364819765090942e-02,-2.427592277526855469e+00,-1.897034525871276855e+00,-2.384517908096313477e+00
3.884606063365936279e-01,1.049315556883811951e-01,1.911061108112335205e-01,7.659360766410827637e-02,-4.419310688972473145e-01,6.792081594467163086e-01,5.809532999992370605e-01,7.562800049781799316e-01,1.223459243774414062e+00,-4.619120359420776367e-01,-1.828290939331054688e+00,-7.024852633476257324e-01,2.078148365020751953e+00,1.778494268655776978e-01
-7.183696627616882324e-01,1.734769344329833984e-01,3.195188194513320923e-02,6.254379451274871826e-02,9.240310192108154297e-01,7.905446738004684448e-02,-3.687891662120819092e-01,2.795435190200805664e+00,1.511230468750000000e+00,-2.898929834365844727e+00,9.245574474334716797e-01,1.078290939331054688e+00,1.548609584569931030e-01,-1.424383878707885742e+00
-5.761231780052185059e-01,-5.926960110664367676e-01,3.316929340362548828e-01,3.731625676155090332e-01,8.323746323585510254e-01,5.480942875146865845e-02,-4.060765504837036133e-01,8.364841341972351074e-01,-1.627126455307006836e+00,-3.871107697486877441e-01,-1.938416957855224609e-01,2.692997932434082031e+00,1.574369192123413086e+00,-1.445374131202697754e+00
-3.469413220882415771e-01,-2.678506672382354736e-01,8.354381918907165527e-01,2.333168685436248779e-02,-6.492521613836288452e-02,9.492415785789489746e-01,3.068888187408447266e-01,3.478064667433500290e-03,-1.346059918403625488e+00,2.448582887649536133e+00,1.552024602890014648e+00,-1.196052670478820801e+00,5.820302963256835938e-01,6.656611561775207520e-01
