ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
0.246772,0.046261,1.006275,0.277221,0.846200,0.367152,-0.268874,1.625688,-0.256025,2.127963,0.826733,-2.408200,1.992282,1.595212,1.609876,-0.256865,2.085311,0.870703,-2.369310,1.995584,1.651574
0.233135,0.019324,1.023396,0.227875,0.840331,0.406064,-0.277541,1.609876,-0.256865,2.085311,0.870703,-2.369310,1.995584,1.651574,1.633251,-0.299830,2.103748,0.822759,-2.325388,1.993088,1.642331
0.230001,0.044757,1.025162,0.261613,0.850963,0.377187,-0.255246,1.633251,-0.299830,2.103748,0.822759,-2.325388,1.993088,1.642331,1.599205,-0.238703,2.096022,0.801343,-2.342994,2.019703,1.660603
0.204853,0.083597,1.035467,0.229897,0.861991,0.373848,-0.253686,1.599205,-0.238703,2.096022,0.801343,-2.342994,2.019703,1.660603,1.619841,-0.217162,2.203104,0.781022,-2.368607,1.979014,1.691402
0.199614,0.073168,1.043880,0.214409,0.862792,0.371928,-0.266997,1.619841,-0.217162,2.203104,0.781022,-2.368607,1.979014,1.691402,1.676290,-0.222859,2.161096,0.739798,-2.336077,2.016177,1.718560
0.199001,0.077375,1.041929,0.226339,0.858986,0.361392,-0.283389,1.676290,-0.222859,2.161096,0.739798,-2.336077,2.016177,1.718560,1.643014,-0.211251,2.166930,0.750732,-2.292506,2.027357,1.752505
0.179510,0.079558,1.060456,0.195275,0.862865,0.392126,-0.252129,1.643014,-0.211251,2.166930,0.750732,-2.292506,2.027357,1.752505,1.646393,-0.196795,2.198495,0.677875,-2.308489,2.003838,1.720561
0.201764,0.130067,1.037866,0.272132,0.870251,0.346499,-0.220332,1.646393,-0.196795,2.198495,0.677875,-2.308489,2.003838,1.720561,1.632636,-0.122048,2.155203,0.726288,-2.392633,1.987094,1.728699
0.183716,0.161238,1.035990,0.242064,0.894424,0.310337,-0.212370,1.632636,-0.122048,2.155203,0.726288,-2.392633,1.987094,1.728699,1.661947,-0.086487,2.194871,0.708852,-2.415750,2.029993,1.719134
0.206916,0.104348,1.034040,0.274741,0.879660,0.323594,-0.214480,1.661947,-0.086487,2.194871,0.708852,-2.415750,2.029993,1.719134,1.598163,-0.143151,2.148898,0.733710,-2.408629,2.064517,1.697771
0.215475,0.127824,1.023666,0.289497,0.883832,0.307866,-0.200628,1.598163,-0.143151,2.148898,0.733710,-2.408629,2.064517,1.697771,1.606090,-0.111872,2.133431,0.756549,-2.441725,2.046364,1.678684
0.225157,0.125100,1.019914,0.333314,0.872806,0.294679,-0.200689,1.606090,-0.111872,2.133431,0.756549,-2.441725,2.046364,1.678684,1.546298,-0.087523,2.109961,0.757174,-2.417688,2.068691,1.711954
0.215827,0.098040,1.045229,0.330858,0.861856,0.359122,-0.136997,1.546298,-0.087523,2.109961,0.757174,-2.417688,2.068691,1.711954,1.541374,-0.108688,2.105975,0.672807,-2.490044,2.002556,1.662091
0.229658,0.075233,1.029535,0.319984,0.870524,0.339416,-0.156830,1.541374,-0.108688,2.105975,0.672807,-2.490044,2.002556,1.662091,1.561363,-0.153962,2.087067,0.737768,-2.507857,2.039432,1.615410
0.244482,0.039950,1.016637,0.366926,0.859510,0.321256,-0.152978,1.561363,-0.153962,2.087067,0.737768,-2.507857,2.039432,1.615410,1.551091,-0.201463,2.070115,0.779784,-2.594223,2.061153,1.627297
0.236664,-0.018131,1.025524,0.398567,0.826500,0.359384,-0.169957,1.551091,-0.201463,2.070115,0.779784,-2.594223,2.061153,1.627297,1.521383,-0.273766,2.073721,0.753309,-2.582589,2.062245,1.707386
0.229852,-0.050056,1.023467,0.375183,0.822796,0.372925,-0.207777,1.521383,-0.273766,2.073721,0.753309,-2.582589,2.062245,1.707386,1.509415,-0.324941,2.082685,0.764309,-2.514630,2.094395,1.725230
0.234438,-0.086891,1.030458,0.374172,0.793666,0.431366,-0.209794,1.509415,-0.324941,2.082685,0.764309,-2.514630,2.094395,1.725230,1.582581,-0.384379,2.050698,0.717980,-2.534120,2.025561,1.756987
0.239076,-0.147095,1.011638,0.429062,0.753664,0.415468,-0.274379,1.582581,-0.384379,2.050698,0.717980,-2.534120,2.025561,1.756987,1.571469,-0.457919,1.999919,0.733656,-2.492214,2.094395,1.902680
0.264495,-0.194508,0.987038,0.467125,0.720348,0.433962,-0.273073,1.571469,-0.457919,1.999919,0.733656,-2.492214,2.094395,1.902680,1.592190,-0.507396,1.893316,0.747041,-2.532861,2.073627,1.872075
0.267452,-0.161987,1.001206,0.488005,0.714314,0.447707,-0.226197,1.592190,-0.507396,1.893316,0.747041,-2.532861,2.073627,1.872075,1.585150,-0.454097,1.901169,0.739110,-2.584644,1.989893,1.847760
0.280503,-0.094595,1.003127,0.493715,0.735041,0.422979,-0.192481,1.585150,-0.454097,1.901169,0.739110,-2.584644,1.989893,1.847760,1.582461,-0.365701,1.907683,0.788247,-2.609608,1.930646,1.799504
0.291069,-0.044856,0.991197,0.557488,0.738533,0.341312,-0.165176,1.582461,-0.365701,1.907683,0.788247,-2.609608,1.930646,1.799504,1.546200,-0.259277,1.866613,0.830171,-2.654755,1.977225,1.818752
0.303701,-0.054904,0.983425,0.561151,0.732194,0.360292,-0.138530,1.546200,-0.259277,1.866613,0.830171,-2.654755,1.977225,1.818752,1.538368,-0.261315,1.833874,0.852475,-2.677504,1.915944,1.754855
