epoch,step,test_loss,test_mae,train_loss,val_loss,val_mae
0,13,,,,2.3197951316833496,1.3035202026367188
0,13,,,2.326871871948242,,
1,27,,,,2.3182764053344727,1.3029139041900635
1,27,,,2.323996067047119,,
2,41,,,,2.3151605129241943,1.3022403717041016
2,41,,,2.3186545372009277,,
3,55,,,,2.3130578994750977,1.3019131422042847
3,55,,,2.3158888816833496,,
4,69,,,,2.312922954559326,1.3023111820220947
4,69,,,2.312808036804199,,
5,83,,,,2.308814525604248,1.3024612665176392
5,83,,,2.308924436569214,,
6,97,,,,2.3035683631896973,1.302091360092163
6,97,,,2.3028512001037598,,
7,111,,,,2.3046743869781494,1.3025864362716675
7,111,,,2.301786184310913,,
8,125,,,,2.3048453330993652,1.3040413856506348
8,125,,,2.296475887298584,,
9,139,,,,2.306751012802124,1.303914189338684
9,139,,,2.2913596630096436,,
10,153,,,,2.3034043312072754,1.3036097288131714
10,153,,,2.2878592014312744,,
11,167,,,,2.3038430213928223,1.3041048049926758
11,167,,,2.2831058502197266,,
12,181,,,,2.307651996612549,1.3049911260604858
12,181,,,2.28029465675354,,
13,195,,,,2.315001964569092,1.305269479751587
13,195,,,2.279120922088623,,
14,209,,,,2.309154510498047,1.3050063848495483
14,209,,,2.2758705615997314,,
15,223,,,,2.312711000442505,1.3054674863815308
15,223,,,2.272657871246338,,
16,237,,,,2.315100908279419,1.3062562942504883
16,237,,,2.2671895027160645,,
17,251,,,,2.315704107284546,1.3063291311264038
17,251,,,2.2700984477996826,,
18,265,,,,2.3183674812316895,1.3068592548370361
18,265,,,2.260406494140625,,
19,279,,,,2.3199574947357178,1.3067740201950073
19,279,,,2.2565507888793945,,
20,293,,,,2.3211982250213623,1.3075690269470215
20,293,,,2.2563226222991943,,
21,307,,,,2.3266241550445557,1.3083038330078125
21,307,,,2.2556746006011963,,
22,321,,,,2.319058895111084,1.3067864179611206
22,321,,,2.2538769245147705,,
23,335,,,,2.3240458965301514,1.3073043823242188
23,335,,,2.247551679611206,,
24,349,,,,2.3260133266448975,1.3082106113433838
24,349,,,2.245445966720581,,
25,363,,,,2.3292877674102783,1.3086713552474976
25,363,,,2.244511365890503,,
26,377,,,,2.323636293411255,1.3072081804275513
26,377,,,2.2478694915771484,,
27,391,,,,2.325986623764038,1.3082047700881958
27,391,,,2.246056318283081,,
28,405,,,,2.3268589973449707,1.3083456754684448
28,405,,,2.2426836490631104,,
29,419,,,,2.3266139030456543,1.3084020614624023
29,419,,,2.23893666267395,,
30,433,,,,2.3295412063598633,1.3090487718582153
30,433,,,2.2354214191436768,,
31,434,2.289231061935425,1.2896417379379272,,,
