epoch,step,test_ik_loss,test_loss,test_move_loss,train_ik_loss_epoch,train_ik_loss_step,train_loss_epoch,train_loss_step,train_move_loss_epoch,train_move_loss_step,val_ik_loss,val_loss,val_move_loss
0,9,,,,,0.0034080427139997482,,0.0035066946875303984,,0.0009865203173831105,,,
0,19,,,,,0.002787226578220725,,0.002834630198776722,,0.00047403687494806945,,,
0,29,,,,,0.00292837992310524,,0.002951964270323515,,0.0002358440833631903,,,
0,39,,,,,0.0026501696556806564,,0.002667882014065981,,0.00017712365661282092,,,
0,49,,,,,0.00264064222574234,,0.0026569876354187727,,0.00016345515905413777,,,
0,54,,,,,,,,,,0.002492962870746851,0.0024942972231656313,1.3342857528186869e-05
0,54,,,,0.003510355483740568,,0.0036161686293780804,,0.0010581322712823749,,,,
1,59,,,,,0.0025957918260246515,,0.002610669704154134,,0.00014877824287395924,,,
1,69,,,,,0.002690523397177458,,0.002704728627577424,,0.0001420515909558162,,,
1,79,,,,,0.002362212399020791,,0.002373237395659089,,0.00011024953710148111,,,
1,89,,,,,0.0026180383283644915,,0.0026293403934687376,,0.00011301961785648018,,,
1,99,,,,,0.0026698510628193617,,0.00268005533143878,,0.00010204298450844362,,,
1,109,,,,,0.0025342940352857113,,0.0025446040090173483,,0.00010309992649126798,,,
1,109,,,,,,,,,,0.002483419142663479,0.0024840913247317076,6.7229530031909235e-06
1,109,,,,0.002608463866636157,,0.002621032064780593,,0.00012568126840051264,,,,
2,119,,,,,0.0028314513619989157,,0.002840694971382618,,9.24365158425644e-05,,,
2,129,,,,,0.002408778527751565,,0.002417578361928463,,8.799925853963941e-05,,,
2,139,,,,,0.0024268068373203278,,0.0024361649993807077,,9.358226088806987e-05,,,
2,149,,,,,0.0024106353521347046,,0.002418110379949212,,7.475023448932916e-05,,,
2,159,,,,,0.002502844203263521,,0.0025116445031017065,,8.800336217973381e-05,,,
2,164,,,,,,,,,,0.0024829767644405365,0.0024837274104356766,7.506147539970698e-06
2,164,,,,0.002566597191616893,,0.002575573045760393,,8.97590653039515e-05,,,,
3,169,,,,,0.002589378971606493,,0.0025961152277886868,,6.736256182193756e-05,,,
3,179,,,,,0.002576722064986825,,0.002583206631243229,,6.484464392997324e-05,,,
3,189,,,,,0.0027034024242311716,,0.002710544504225254,,7.142177491914481e-05,,,
3,199,,,,,0.0026166760362684727,,0.0026216800324618816,,5.003965270589106e-05,,,
3,209,,,,,0.0024870592169463634,,0.0024927982594817877,,5.739008338423446e-05,,,
3,219,,,,,0.002551337005570531,,0.002557640429586172,,6.303383270278573e-05,,,
3,219,,,,,,,,,,0.0024823693092912436,0.0024830251932144165,6.5610820456640795e-06
3,219,,,,0.0025390407536178827,,0.0025458112359046936,,6.769784522475675e-05,,,,
4,229,,,,,0.002587083959951997,,0.002592501463368535,,5.417541615315713e-05,,,
4,239,,,,,0.0025047040544450283,,0.0025098773185163736,,5.173365934751928e-05,,,
4,249,,,,,0.0024853195063769817,,0.0024908853229135275,,5.565857281908393e-05,,,
4,259,,,,,0.0023458630312234163,,0.0023501922842115164,,4.3292973714414984e-05,,,
4,269,,,,,0.0024806333240121603,,0.0024861034471541643,,5.470010364660993e-05,,,
4,274,,,,,,,,,,0.0024835674557834864,0.0024844647850841284,8.974271622719243e-06
4,274,,,,0.002536432584747672,,0.0025419730227440596,,5.540087295230478e-05,,,,
5,279,,,,,0.0024264357052743435,,0.00243173073977232,,5.294957009027712e-05,,,
5,289,,,,,0.002560140797868371,,0.002564738504588604,,4.59777147625573e-05,,,
5,299,,,,,0.002313271863386035,,0.002318301238119602,,5.029332169215195e-05,,,
5,309,,,,,0.0024223329965025187,,0.0024268392007797956,,4.5062683057039976e-05,,,
5,319,,,,,0.002598388586193323,,0.0026020619552582502,,3.673261380754411e-05,,,
5,329,,,,,0.002231940161436796,,0.002236683387309313,,4.743293902720325e-05,,,
5,329,,,,,,,,,,0.0024871842470020056,0.0024883418809622526,1.1577240911719855e-05
5,329,,,,0.0025185933336615562,,0.002523119328543544,,4.525590702542104e-05,,,,
6,339,,,,,0.0025845642667263746,,0.002588342409580946,,3.77811593352817e-05,,,
6,349,,,,,0.002550812205299735,,0.0025543023366481066,,3.490069502731785e-05,,,
6,359,,,,,0.002493487671017647,,0.0024971107486635447,,3.623065640567802e-05,,,
6,369,,,,,0.0023675791453570127,,0.002371374052017927,,3.7949885154375806e-05,,,
6,379,,,,,0.00256552966311574,,0.002568719210103154,,3.1896401196718216e-05,,,
6,384,,,,,,,,,,0.002484367461875081,0.0024850524496287107,6.847593340353342e-06
6,384,,,,0.0025076877791434526,,0.0025114277377724648,,3.7402467569336295e-05,,,,
7,389,,,,,0.002435983857139945,,0.002439698437228799,,3.714473496074788e-05,,,
7,399,,,,,0.0025323256850242615,,0.0025358390994369984,,3.513530464260839e-05,,,
7,409,,,,,0.0027394427452236414,,0.002743297955021262,,3.855161412502639e-05,,,
7,419,,,,,0.0025455541908740997,,0.0025483279023319483,,2.7736065021599643e-05,,,
7,429,,,,,0.0025436016730964184,,0.0025463399942964315,,2.7382297048461623e-05,,,
7,439,,,,,0.002639621961861849,,0.002643102779984474,,3.4808235795935616e-05,,,
7,439,,,,,,,,,,0.0024860608391463757,0.0024870880879461765,1.027232974593062e-05
7,439,,,,0.0025055366568267345,,0.0025088114198297262,,3.274516711826436e-05,,,,
8,449,,,,,0.002382420003414154,,0.002385505009442568,,3.085107891820371e-05,,,
8,459,,,,,0.002593505661934614,,0.002596117090433836,,2.611450690892525e-05,,,
8,469,,,,,0.0025714801158756018,,0.002574005862697959,,2.5257057131966576e-05,,,
8,479,,,,,0.002570487791672349,,0.002573240315541625,,2.7526302801561542e-05,,,
8,489,,,,,0.0023440762888640165,,0.002347094938158989,,3.0186000003595836e-05,,,
8,494,,,,,,,,,,0.002483098767697811,0.00248354347422719,4.448370418685954e-06
8,494,,,,0.002503087976947427,,0.002505939919501543,,2.8517713872133754e-05,,,,
